"date","Air Temp ˚F","Precipitation (inches)","Relative Humidity (%)","Leaf Wetness (minutes)","Solar Radiation (langleys)","Wind Speed (mph)","Wind Direction (degrees)"
"01/01/2019 00:00","45.5","0.02","100","60","0","18.1","177"
"01/01/2019 01:00","46.5","0","100","45","0","2.7","247"
"01/01/2019 02:00","49","0","100","0","0","6.7","232"
"01/01/2019 03:00","45.3","0","100","0","0","4.3","292"
"01/01/2019 04:00","54.9","0","89","0","0","11.7","224"
"01/01/2019 05:00","57.7","0","77","0","0","11.8","271"
"01/01/2019 06:00","56.7","0","71","0","0","15","257"
"01/01/2019 07:00","52.5","0","76","0","0","17.2","266"
"01/01/2019 08:00","47.4","0","85","11","0","16.8","286"
"01/01/2019 09:00","45.8","0","82","7","1","14.2","272"
"01/01/2019 10:00","44.3","0","82","0","6","13.7","267"
"01/01/2019 11:00","43.2","0","80","0","16","17.5","304"
"01/01/2019 12:00","42.8","0","82","0","14","12.4","299"
"01/01/2019 13:00","42.7","0","79","0","14","11.9","295"
"01/01/2019 14:00","42","0","79","0","11","11","306"
"01/01/2019 15:00","40.8","0","80","0","8","9.7","298"
"01/01/2019 16:00","40.2","0","80","0","4","9.2","304"
"01/01/2019 17:00","39.8","0","80","0","0","8.2","301"
"01/01/2019 18:00","38.1","0","87","0","0","8.3","280"
"01/01/2019 19:00","36.9","0","92","0","0","4","271"
"01/01/2019 20:00","36.9","0","89","0","0","2","247"
"01/01/2019 21:00","36.8","0","89","0","0","5.7","286"
"01/01/2019 22:00","35.7","0","94","0","0","4.3","262"
"01/01/2019 23:00","35.8","0","92","0","0","2.9","292"
"01/02/2019 00:00","35.2","0","92","0","0","2.7","270"
"01/02/2019 01:00","35.1","0","92","0","0","3.2","247"
"01/02/2019 02:00","35.2","0","91","0","0","2.7","270"
"01/02/2019 03:00","35.1","0","90","0","0","3.6","270"
"01/02/2019 04:00","34.8","0","90","0","0","3.4","265"
"01/02/2019 05:00","34.7","0","90","0","0","1.6","247"
"01/02/2019 06:00","34.6","0","91","0","0","2.4","279"
"01/02/2019 07:00","34.2","0","91","0","0","0","292"
"01/02/2019 08:00","34.2","0","93","0","0","1","202"
"01/02/2019 09:00","34.7","0","94","0","2","0","202"
"01/02/2019 10:00","35.6","0","90","0","4","3.4","187"
"01/02/2019 11:00","36.3","0","89","0","8","3.1","112"
"01/02/2019 12:00","36.2","0","89","0","7","4.3","183"
"01/02/2019 13:00","36.5","0","89","0","10","5","114"
"01/02/2019 14:00","36.5","0","90","0","7","3.5","157"
"01/02/2019 15:00","35.7","0","95","0","3","2.6","74"
"01/02/2019 16:00","35.7","0","98","30","1","4.1","45"
"01/02/2019 17:00","36.3","0","99","60","0","3.5","99"
"01/02/2019 18:00","36.9","0","99","60","0","6.3","149"
"01/02/2019 19:00","37.7","0","99","60","0","10.4","170"
"01/02/2019 20:00","38.7","0","96","60","0","9.2","178"
"01/02/2019 21:00","39.2","0","93","60","0","11.1","180"
"01/02/2019 22:00","39.2","0","92","60","0","11.8","153"
"01/02/2019 23:00","39.2","0","92","35","0","12.2","182"
"01/03/2019 00:00","39.6","0","91","0","0","12.5","187"
"01/03/2019 01:00","39.6","0","91","0","0","9.4","195"
"01/03/2019 02:00","39.7","0","92","0","0","3.3","239"
"01/03/2019 03:00","41.4","0.01","91","0","0","6.7","259"
"01/03/2019 04:00","41.1","0","92","0","0","9.2","235"
"01/03/2019 05:00","40.2","0","89","10","0","10.9","294"
"01/03/2019 06:00","36.4","0","91","60","0","9.8","314"
"01/03/2019 07:00","34.7","0","88","60","0","15.4","287"
"01/03/2019 08:00","33.8","0.01","82","28","0","10.3","288"
"01/03/2019 09:00","33.2","0","84","0","2","8.1","299"
"01/03/2019 10:00","32.9","0","80","0","4","11","303"
"01/03/2019 11:00","32.8","0","81","0","6","11.3","269"
"01/03/2019 12:00","32.9","0","79","0","11","11.1","298"
"01/03/2019 13:00","32.8","0","82","0","9","7.1","292"
"01/03/2019 14:00","34","0","79","0","14","7.5","286"
"01/03/2019 15:00","33.8","0","79","0","12","9.2","270"
"01/03/2019 16:00","33.7","0","80","0","4","5.9","249"
"01/03/2019 17:00","33.6","0","81","0","1","6.1","289"
"01/03/2019 18:00","32.8","0","79","0","0","5","292"
"01/03/2019 19:00","32.5","0","82","0","0","2.1","225"
"01/03/2019 20:00","30.6","0","86","0","0","2.7","202"
"01/03/2019 21:00","31.6","0","85","0","0","5.9","245"
"01/03/2019 22:00","28.8","0","87","0","0","0.1","225"
"01/03/2019 23:00","28.7","0","93","0","0","1.7","270"
"01/04/2019 00:00","30","0","92","0","0","1.3","225"
