"date","Air Temp ˚F","Precipitation (inches)","Relative Humidity (%)","Leaf Wetness (minutes)","Solar Radiation (langleys)","Wind Speed (mph)","Wind Direction (degrees)"
"01/01/2021 00:00","28.8","0","81","0","0","2.2","112"
"01/01/2021 01:00","25.4","0","85","0","0","0","112"
"01/01/2021 02:00","23.9","0","90","0","0","0","112"
"01/01/2021 03:00","22.5","0","92","0","0","0","112"
"01/01/2021 04:00","21.2","0","94","0","0","0","112"
"01/01/2021 05:00","19.7","0","95","0","0","0.2","112"
"01/01/2021 06:00","19.4","0","96","0","0","0","112"
"01/01/2021 07:00","21.6","0","96","0","0","1.1","103"
"01/01/2021 08:00","22.5","0","94","0","0","0.4","90"
"01/01/2021 09:00","25.9","0","91","0","3","2.1","225"
"01/01/2021 10:00","29.2","0","80","0","6","3.1","351"
"01/01/2021 11:00","30.1","0","75","0","10","4.2","87"
"01/01/2021 12:00","30.1","0","75","4","6","2.4","48"
"01/01/2021 13:00","29.2","0.02","86","60","2","1.8","5"
"01/01/2021 14:00","29.1","0.04","90","46","3","0.6","180"
"01/01/2021 15:00","29.2","0","91","35","3","1","180"
"01/01/2021 16:00","30","0","93","60","2","0.9","180"
"01/01/2021 17:00","30.6","0","94","60","0","1","180"
"01/01/2021 18:00","30.7","0","94","60","0","0.9","180"
"01/01/2021 19:00","31.4","0","95","60","0","1.2","180"
"01/01/2021 20:00","31.9","0","95","60","0","0.3","180"
"01/01/2021 21:00","32.3","0","96","60","0","0.4","180"
"01/01/2021 22:00","32.4","0","96","60","0","0.7","180"
"01/01/2021 23:00","32.6","0","97","60","0","0.7","180"
"01/02/2021 00:00","32.7","0","98","60","0","1","180"
"01/02/2021 01:00","33","0.05","98","60","0","4","315"
"01/02/2021 02:00","33.3","0.04","98","60","0","7","269"
"01/02/2021 03:00","33.9","0.06","98","60","0","6","232"
"01/02/2021 04:00","34.1","0.06","98","60","0","5.1","226"
"01/02/2021 05:00","34.1","0.04","99","60","0","5.9","269"
"01/02/2021 06:00","34.5","0.03","96","60","0","0.8","180"
"01/02/2021 07:00","42.8","0.05","90","60","0","7.4","226"
"01/02/2021 08:00","44.3","0","84","40","0","13.8","257"
"01/02/2021 09:00","44.5","0","80","0","3","17.5","273"
"01/02/2021 10:00","42","0","90","16","3","11.2","274"
"01/02/2021 11:00","41.8","0","84","47","8","15","299"
"01/02/2021 12:00","40.6","0","85","0","8","9.2","305"
"01/02/2021 13:00","39.2","0","86","0","6","9.7","300"
"01/02/2021 14:00","38.7","0","85","0","8","6.4","313"
"01/02/2021 15:00","38.3","0","84","0","7","7.5","282"
"01/02/2021 16:00","37.9","0","84","0","5","7.1","282"
"01/02/2021 17:00","36.7","0","85","0","1","3.6","270"
"01/02/2021 18:00","36.4","0","86","0","0","3.3","225"
"01/02/2021 19:00","34.8","0","88","0","0","0.7","247"
"01/02/2021 20:00","33.5","0","91","0","0","2.4","135"
"01/02/2021 21:00","32","0","94","0","0","1.7","135"
"01/02/2021 22:00","30.1","0","96","0","0","2.1","133"
"01/02/2021 23:00","27.3","0","97","0","0","0","112"
"01/03/2021 00:00","26.8","0","98","0","0","0.1","112"
"01/03/2021 01:00","27.4","0","98","0","0","0.8","90"
"01/03/2021 02:00","27.4","0","99","0","0","2.9","67"
"01/03/2021 03:00","27.7","0","99","0","0","4.4","67"
"01/03/2021 04:00","28","0","99","0","0","3.9","46"
"01/03/2021 05:00","30.3","0","98","0","0","1.3","270"
"01/03/2021 06:00","29.9","0","98","0","0","3.4","90"
"01/03/2021 07:00","30.2","0","98","0","0","2.3","337"
"01/03/2021 08:00","32","0","94","7","0","3.3","332"
"01/03/2021 09:00","32.6","0","93","36","2","3.6","339"
"01/03/2021 10:00","32.5","0.01","92","60","3","4.2","360"
"01/03/2021 11:00","32.2","0","94","60","3","2.5","272"
"01/03/2021 12:00","32.6","0","94","60","5","2.6","343"
"01/03/2021 13:00","32.1","0","95","60","3","3.4","342"
"01/03/2021 14:00","32.1","0","97","60","4","3.2","360"
"01/03/2021 15:00","32","0","98","60","3","0","337"
"01/03/2021 16:00","32","0","98","60","3","0","294"
"01/03/2021 17:00","31.8","0","98","60","2","1.4","247"
"01/03/2021 18:00","31.9","0.01","99","60","0","0.5","225"
"01/03/2021 19:00","32","0","99","60","0","1","247"
"01/03/2021 20:00","33","0","99","60","0","3.6","212"
"01/03/2021 21:00","32.7","0","99","60","0","1.5","157"
"01/03/2021 22:00","34.3","0","97","60","0","6.4","271"
"01/03/2021 23:00","34","0.02","95","60","0","1.5","270"
"01/04/2021 00:00","32.3","0.01","97","60","0","2.8","135"
"01/04/2021 01:00","32.7","0.01","97","60","0","1.4","180"
